GEOLINEID,Legend_Description,GSC_SYMBOL
112001020302,"fault; normal; approximate; attitude upright, assumed from archival data; second generation",4.02.01.002
112001020303,"fault; normal; approximate; attitude upright, assumed from archival data; third generation",4.02.01.002
112001020304,"fault; normal; approximate; attitude upright, assumed from archival data; fourth generation",4.02.01.002
112001020310,"fault; normal; approximate; attitude upright, assumed from archival data; primary generation",4.02.01.002
112001020320,"fault; normal; approximate; attitude upright, assumed from archival data; multi-generation generation",4.02.01.002
112001020366,"fault; normal; approximate; attitude upright, assumed from archival data; not entered generation",4.02.01.002
112001020388,"fault; normal; approximate; attitude upright, assumed from archival data; undefined generation",4.02.01.002
112001026601,fault; normal; approximate; attitude not entered; first generation,4.02.01.002
112001026602,fault; normal; approximate; attitude not entered; second generation,4.02.01.002
112001026603,fault; normal; approximate; attitude not entered; third generation,4.02.01.002
112001026604,fault; normal; approximate; attitude not entered; fourth generation,4.02.01.002
112001026610,fault; normal; approximate; attitude not entered; primary generation,4.02.01.002
112001026620,fault; normal; approximate; attitude not entered; multi-generation generation,4.02.01.002
112001026666,fault; normal; approximate; attitude not entered; not entered generation,4.02.01.002
112001026688,fault; normal; approximate; attitude not entered; undefined generation,4.02.01.002
112001027701,fault; normal; approximate; attitude unknown; first generation,4.02.01.002
112001027702,fault; normal; approximate; attitude unknown; second generation,4.02.01.002
112001027703,fault; normal; approximate; attitude unknown; third generation,4.02.01.002
112001027704,fault; normal; approximate; attitude unknown; fourth generation,4.02.01.002
112001027710,fault; normal; approximate; attitude unknown; primary generation,4.02.01.002
112001027720,fault; normal; approximate; attitude unknown; multi-generation generation,4.02.01.002
112001027766,fault; normal; approximate; attitude unknown; not entered generation,4.02.01.002
112001027788,fault; normal; approximate; attitude unknown; undefined generation,4.02.01.002
112001030101,fault; normal; inferred; attitude upright; first generation,4.02.01.003
112001030102,fault; normal; inferred; attitude upright; second generation,4.02.01.003
112001030103,fault; normal; inferred; attitude upright; third generation,4.02.01.003
112001030104,fault; normal; inferred; attitude upright; fourth generation,4.02.01.003
112001030110,fault; normal; inferred; attitude upright; primary generation,4.02.01.003
112001030120,fault; normal; inferred; attitude upright; multi-generation generation,4.02.01.003
112001030166,fault; normal; inferred; attitude upright; not entered generation,4.02.01.003
112001030188,fault; normal; inferred; attitude upright; undefined generation,4.02.01.003
112001030201,fault; normal; inferred; attitude overturned; first generation,4.02.01.003
112001030202,fault; normal; inferred; attitude overturned; second generation,4.02.01.003
112001030203,fault; normal; inferred; attitude overturned; third generation,4.02.01.003
112001030204,fault; normal; inferred; attitude overturned; fourth generation,4.02.01.003
112001030210,fault; normal; inferred; attitude overturned; primary generation,4.02.01.003
112001030220,fault; normal; inferred; attitude overturned; multi-generation generation,4.02.01.003
112001030266,fault; normal; inferred; attitude overturned; not entered generation,4.02.01.003
112001030288,fault; normal; inferred; attitude overturned; undefined generation,4.02.01.003
112001030301,"fault; normal; inferred; attitude upright, assumed from archival data; first generation",4.02.01.003
112001030302,"fault; normal; inferred; attitude upright, assumed from archival data; second generation",4.02.01.003
112001030303,"fault; normal; inferred; attitude upright, assumed from archival data; third generation",4.02.01.003
112001030304,"fault; normal; inferred; attitude upright, assumed from archival data; fourth generation",4.02.01.003
112001030310,"fault; normal; inferred; attitude upright, assumed from archival data; primary generation",4.02.01.003
112001030320,"fault; normal; inferred; attitude upright, assumed from archival data; multi-generation generation",4.02.01.003
112001030366,"fault; normal; inferred; attitude upright, assumed from archival data; not entered generation",4.02.01.003
112001030388,"fault; normal; inferred; attitude upright, assumed from archival data; undefined generation",4.02.01.003
112001036601,fault; normal; inferred; attitude not entered; first generation,4.02.01.003
112001036602,fault; normal; inferred; attitude not entered; second generation,4.02.01.003
112001036603,fault; normal; inferred; attitude not entered; third generation,4.02.01.003
112001036604,fault; normal; inferred; attitude not entered; fourth generation,4.02.01.003
112001036610,fault; normal; inferred; attitude not entered; primary generation,4.02.01.003
112001036620,fault; normal; inferred; attitude not entered; multi-generation generation,4.02.01.003
112001036666,fault; normal; inferred; attitude not entered; not entered generation,4.02.01.003
112001036688,fault; normal; inferred; attitude not entered; undefined generation,4.02.01.003
112001037701,fault; normal; inferred; attitude unknown; first generation,4.02.01.003
112001037702,fault; normal; inferred; attitude unknown; second generation,4.02.01.003
112001037703,fault; normal; inferred; attitude unknown; third generation,4.02.01.003
112001037704,fault; normal; inferred; attitude unknown; fourth generation,4.02.01.003
112001037710,fault; normal; inferred; attitude unknown; primary generation,4.02.01.003
112001037720,fault; normal; inferred; attitude unknown; multi-generation generation,4.02.01.003
112001037766,fault; normal; inferred; attitude unknown; not entered generation,4.02.01.003
112001037788,fault; normal; inferred; attitude unknown; undefined generation,4.02.01.003
112001040101,fault; normal; concealed; attitude upright; first generation,4.02.01.004
112001040102,fault; normal; concealed; attitude upright; second generation,4.02.01.004
112001040103,fault; normal; concealed; attitude upright; third generation,4.02.01.004
112001040104,fault; normal; concealed; attitude upright; fourth generation,4.02.01.004
112001040110,fault; normal; concealed; attitude upright; primary generation,4.02.01.004
112001040120,fault; normal; concealed; attitude upright; multi-generation generation,4.02.01.004
