GEOPOINTID,Legend_Description,GSC_SYMBOL
1100101660302,"planar; bedding; inclined, upright; not entered; known, stratigraphic order; estimated at station",4.14.01.003
1100101660303,"planar; bedding; inclined, upright; not entered; known, stratigraphic order; estimated remotely",4.14.01.003
1100101660304,"planar; bedding; inclined, upright; not entered; known, stratigraphic order; calculated from data",4.14.01.003
1100101660305,"planar; bedding; inclined, upright; not entered; known, stratigraphic order; calculated from imagery",4.14.01.003
1100101660306,"planar; bedding; inclined, upright; not entered; known, stratigraphic order; acquired from historical data",4.14.01.001
1100101660366,"planar; bedding; inclined, upright; not entered; known, stratigraphic order; not entered",4.14.01.003
1100101660401,"planar; bedding; inclined, upright; not entered; inferred, stratigraphic order; measured at station",4.14.01.001
1100101660402,"planar; bedding; inclined, upright; not entered; inferred, stratigraphic order; estimated at station",4.14.01.003
1100101660403,"planar; bedding; inclined, upright; not entered; inferred, stratigraphic order; estimated remotely",4.14.01.003
1100101660404,"planar; bedding; inclined, upright; not entered; inferred, stratigraphic order; calculated from data",4.14.01.003
1100101660405,"planar; bedding; inclined, upright; not entered; inferred, stratigraphic order; calculated from imagery",4.14.01.003
1100101660406,"planar; bedding; inclined, upright; not entered; inferred, stratigraphic order; acquired from historical data",4.14.01.001
1100101660466,"planar; bedding; inclined, upright; not entered; inferred, stratigraphic order; not entered",4.14.01.003
1100101660501,"planar; bedding; inclined, upright; not entered; inferred, bedding-cleavage; measured at station",4.14.01.001
1100101660502,"planar; bedding; inclined, upright; not entered; inferred, bedding-cleavage; estimated at station",4.14.01.003
1100101660503,"planar; bedding; inclined, upright; not entered; inferred, bedding-cleavage; estimated remotely",4.14.01.003
1100101660504,"planar; bedding; inclined, upright; not entered; inferred, bedding-cleavage; calculated from data",4.14.01.003
1100101660505,"planar; bedding; inclined, upright; not entered; inferred, bedding-cleavage; calculated from imagery",4.14.01.003
1100101660506,"planar; bedding; inclined, upright; not entered; inferred, bedding-cleavage; acquired from historical data",4.14.01.001
1100101660566,"planar; bedding; inclined, upright; not entered; inferred, bedding-cleavage; not entered",4.14.01.003
1100101666601,"planar; bedding; inclined, upright; not entered; not entered; measured at station",4.14.01.001
1100101666602,"planar; bedding; inclined, upright; not entered; not entered; estimated at station",4.14.01.003
1100101666603,"planar; bedding; inclined, upright; not entered; not entered; estimated remotely",4.14.01.003
1100101666604,"planar; bedding; inclined, upright; not entered; not entered; calculated from data",4.14.01.003
1100101666605,"planar; bedding; inclined, upright; not entered; not entered; calculated from imagery",4.14.01.003
1100101666606,"planar; bedding; inclined, upright; not entered; not entered; acquired from historical data",4.14.01.001
1100101666666,"planar; bedding; inclined, upright; not entered; not entered; not entered",4.14.01.003
1100101880101,"planar; bedding; inclined, upright; undefined; known, sedimentary structure; measured at station",4.14.01.001
1100101880102,"planar; bedding; inclined, upright; undefined; known, sedimentary structure; estimated at station",4.14.01.003
1100101880103,"planar; bedding; inclined, upright; undefined; known, sedimentary structure; estimated remotely",4.14.01.003
1100101880104,"planar; bedding; inclined, upright; undefined; known, sedimentary structure; calculated from data",4.14.01.003
1100101880105,"planar; bedding; inclined, upright; undefined; known, sedimentary structure; calculated from imagery",4.14.01.003
1100101880106,"planar; bedding; inclined, upright; undefined; known, sedimentary structure; acquired from historical data",4.14.01.001
1100101880166,"planar; bedding; inclined, upright; undefined; known, sedimentary structure; not entered",4.14.01.003
1100101880201,"planar; bedding; inclined, upright; undefined; known, igneous structure; measured at station",4.14.01.001
1100101880202,"planar; bedding; inclined, upright; undefined; known, igneous structure; estimated at station",4.14.01.003
1100101880203,"planar; bedding; inclined, upright; undefined; known, igneous structure; estimated remotely",4.14.01.003
1100101880204,"planar; bedding; inclined, upright; undefined; known, igneous structure; calculated from data",4.14.01.003
1100101880205,"planar; bedding; inclined, upright; undefined; known, igneous structure; calculated from imagery",4.14.01.003
1100101880206,"planar; bedding; inclined, upright; undefined; known, igneous structure; acquired from historical data",4.14.01.001
1100101880266,"planar; bedding; inclined, upright; undefined; known, igneous structure; not entered",4.14.01.003
1100101880301,"planar; bedding; inclined, upright; undefined; known, stratigraphic order; measured at station",4.14.01.001
1100101880302,"planar; bedding; inclined, upright; undefined; known, stratigraphic order; estimated at station",4.14.01.003
1100101880303,"planar; bedding; inclined, upright; undefined; known, stratigraphic order; estimated remotely",4.14.01.003
